sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history
26740,SK/ES/78 A/07/2021/14,Sikkim,East Sikkim,Dikchu-Samdong road,Near Jurassic Park Sikkim,27.3699335,88.4859279,Debris cum rock,Slide,23 August 2021
26741,SK/SS/78 A08/DS,Sikkim,South Sikkim,Dojak Landslide,Singtam-Namchi Road,27.28955556,88.37748333,Debris,Slide,2020
26742,SK/ES/78 A11/SKIII,Sikkim,East Sikkim,Sang Khola III,Sang Khola,27.25333333,88.53194444,Rock,Slide,July 2020
26743,SK/ES/78 A11/TJ-1,Sikkim,East Sikkim,Tibetian Jhora,NH-10,27.34222222,88.60722222,Debris,Slide,NA
26744,SK/ES/78 A11/LB-I,Sikkim,East Sikkim,Lower Burtuk,Indra by-pass,27.35861111,88.62027778,Debris,Slide,NA
26745,SK/ES/78 A/11/2021/15,Sikkim,East Sikkim,Mangthang,Mangthang,27.2533846,88.5489504,Debris,Flows,22 August 2021
26746,SK/ES/78 A11/PB,Sikkim,East Sikkim,Pagla Bhir,Rumtek-Rice Valley road.,27.28666667,88.55347222,Rock cum debris,Slide,27 August 2021
26747,SK/ES/78 A11/PK,Sikkim,East Sikkim,Pakyong Slide,Pakyong Road,27.24722222,88.60666667,Debris,Slide,September 2021
26748,SK/SS/78 A08/PS,Sikkim,South Sikkim,Phalidhaara Landslide,Singtam-Namchi Road,27.17054167,88.38358056,Debris,Slide,May 2021
26749,SK/ES/78 A11/SK-II,Sikkim,East Sikkim,Sangkhola II,Sangkhola-Zingla road.,27.26066667,88.53383333,Rock cum debris,Slide,"September 2021, October 2021"
26750,SK/ES/78 A11/S,Sikkim,East Sikkim,Singbel Slide,Khamdong-Dung Dung road,27.31663889,88.45861111,Debris,Slide,18th & 19th October 2021
26751,SK/ES/78 A11/SD,Sikkim,East Sikkim,Singtam-Dikchu,North Sikkim Highway,27.23444444,88.49083333,Rock,Slide,NA
26752,SK/ES/78 A11/SG-1,Sikkim,East Sikkim,Sisa Golai Slide I,NH-10,27.32663889,88.61016667,Debris,Subsidence,1 June 2021 at 10:30 hrs.
26753,SK/ES/78 A11/SW-II,Sikkim,East Sikkim,Swastik-II,NH-10,27.35333333,88.61666667,Debris material (>2mm to cobble size ) to boulder.,Slide,NA
